BTCUSDT: bestBid 21354.60, bestBitQuantity 0.223, bestAsk 21354.70, bestAskQuantity 20.547, eventTime 1673981445445, localTimestamp 1673981445551, totalLatency 106
ETHUSDT: bestBid 1595.40, bestBitQuantity 14.822, bestAsk 1595.41, bestAskQuantity 98.407, eventTime 1673981445453, localTimestamp 1673981445551, totalLatency 98
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.218, bestAsk 21354.70, bestAskQuantity 20.547, eventTime 1673981445455, localTimestamp 1673981445551, totalLatency 96
ETHUSDT: bestBid 1595.40, bestBitQuantity 14.860, bestAsk 1595.41, bestAskQuantity 98.407, eventTime 1673981445472, localTimestamp 1673981445554, totalLatency 82
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.029, bestAsk 21354.70, bestAskQuantity 20.547, eventTime 1673981445472, localTimestamp 1673981445571, totalLatency 99
ETHUSDT: bestBid 1595.40, bestBitQuantity 14.860, bestAsk 1595.41, bestAskQuantity 98.457, eventTime 1673981445475, localTimestamp 1673981445613, totalLatency 138
ETHUSDT: bestBid 1595.40, bestBitQuantity 14.860, bestAsk 1595.41, bestAskQuantity 98.507, eventTime 1673981445477, localTimestamp 1673981445613, totalLatency 136
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.218, bestAsk 21354.70, bestAskQuantity 20.547, eventTime 1673981445479, localTimestamp 1673981445614, totalLatency 135
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.218, bestAsk 21354.70, bestAskQuantity 20.196, eventTime 1673981445479, localTimestamp 1673981445614, totalLatency 135
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.029, bestAsk 21354.70, bestAskQuantity 20.196, eventTime 1673981445481, localTimestamp 1673981445771, totalLatency 290
ETHUSDT: bestBid 1595.40, bestBitQuantity 14.860, bestAsk 1595.41, bestAskQuantity 112.325, eventTime 1673981445486, localTimestamp 1673981445771, totalLatency 285
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.022, bestAsk 21354.70, bestAskQuantity 20.196, eventTime 1673981445486, localTimestamp 1673981445815, totalLatency 329
